🚀 fix-catalog-db.mjs — Limpeza e enriquecimento do catálogo
   Supabase: (definir VITE_SUPABASE_URL no .env — projeto atual)
   Min year: 2022
   Mode: ⚠️  DRY-RUN (sem gravação)
   Step: pre2022

📦 Carregando todos os registros...
   Total carregado: 36256

📅 FASE 1 — Removendo conteúdo anterior a 2022...
  ✂️  [pre-2022] movie "Frankenstein (1931)" (1931) id=0105cafa-161a-4142-9c12-e122d91f7783
  ✂️  [pre-2022] movie "Apollo: Missão à Lua (2019)" (2019) id=0106e849-a9c9-49d6-bdcd-5efedeee548a
  ✂️  [pre-2022] movie "O Grito 3 (2009)" (2009) id=010ee270-8e09-4926-a8ef-cdc8a44a6325
  ✂️  [pre-2022] movie "Sonho Olímpico (2019)" (2019) id=01152fe9-da90-4e3d-8987-06f119986525
  ✂️  [pre-2022] movie "Sex Tape: Ninguém Pode Ver [L] (2018)" (2018) id=0118a30f-288a-451e-9efb-58298248fea7
  ✂️  [pre-2022] movie "Dinheiro Fácil (2009)" (2009) id=01245576-332a-4e15-90e0-833187fd9caa
  ✂️  [pre-2022] movie "A Irmandade do Dragão (2017)" (2017) id=012c01e5-87b5-421c-a029-25de721004ae
  ✂️  [pre-2022] movie "O Amante da Rainha (2012)" (2012) id=012f4b80-4e74-4276-8eb4-665444c69681
  ✂️  [pre-2022] movie "Presente Amaldiçoado (2021)" (2021) id=0130d612-bbb3-4860-a96b-083dc5020c4e
  ✂️  [pre-2022] movie "As Barreiras do Amor [L] (1992)" (1992) id=013a7efa-d805-4607-888f-e639b2f415aa
  ✂️  [pre-2022] movie "Os Três Patetas (2000)" (2000) id=013bfe0e-c62b-449e-81cf-5ab8af0ca838
  ✂️  [pre-2022] movie "Tempo de Crescer (1986)" (1986) id=013c2c79-4801-4db6-b711-3edf52a7325c
  ✂️  [pre-2022] movie "O Segredo de Marrowbone (2017)" (2017) id=013c4239-a6c6-43a5-a91f-865603a28a72
  ✂️  [pre-2022] movie "As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa (2005)" (2005) id=013cca37-59d7-43f6-be0e-283748c5f5ff
  ✂️  [pre-2022] movie "Uma Noite Apavorante (2020)" (2020) id=013dfba3-996a-4bd5-a25d-53e35a135c4e
  ✂️  [pre-2022] movie "Friends: A Reunião (2021)" (2021) id=015d418b-4bb3-49eb-888d-6caafbf6b36d
  ✂️  [pre-2022] movie "Educação (2009)" (2009) id=015f5c61-999a-4a57-8d37-9805d32ff783
  ✂️  [pre-2022] movie "Forrest Gump: O Contador de Histórias (1994)" (1994) id=01647df0-dd64-4224-98f4-c954c79f0238
  ✂️  [pre-2022] movie "O Caminho para a Eternidade (2010)" (2010) id=01651505-243e-4912-9c63-a68eec7ff5a0
  ✂️  [pre-2022] movie "Terapia do Prazer (1997)" (1997) id=01666623-6206-4efc-a02e-b5b445f4091c
  ✂️  [pre-2022] movie "Mais e Melhores Blues (1990)" (1990) id=0168b7e2-081b-4141-a4a3-35b89e7b243c
  ✂️  [pre-2022] movie "Fábrica de Sonhos (2005)" (2005) id=016a4024-e4f0-4310-a60a-e74900059a7c
  ✂️  [pre-2022] movie "Amigos para Sempre (2019)" (2019) id=016a8c28-0584-4016-8837-b36a980789b8
  ✂️  [pre-2022] movie "Nu Entre Lobos (2015)" (2015) id=016c2d6a-cc4e-4f66-87ae-a744e95387fe
  ✂️  [pre-2022] movie "Caçada Sinistra (2009)" (2009) id=016e7820-c3db-43a0-8072-bbf37115ac2b
  ✂️  [pre-2022] movie "Ela é o Diabo (1989)" (1989) id=017035b7-0dbe-49b7-b2f1-529405f7dee8
  ✂️  [pre-2022] movie "Programa DNA (2021)" (2021) id=017f19cf-0bdc-45c7-aad5-73b6afc09c63
  ✂️  [pre-2022] movie "Um Natal com Amor e Vinho [L] (2021)" (2021) id=01843d75-7979-4f08-ae3c-1df0820c26e4
  ✂️  [pre-2022] movie "O Amadurecer de Andy (2019)" (2019) id=0196ba4b-24ce-4964-8990-f6b92c008ccf
  ✂️  [pre-2022] movie "Van Helsing: O Caçador de Monstros (2004)" (2004) id=019e708b-17e1-45d9-ab0d-c37ca365c5db
  ✂️  [pre-2022] movie "A Mula [L] (2018)" (2018) id=01a11988-c885-4730-9daa-58b6532ca156
  ✂️  [pre-2022] movie "O Atirador: O Fim de um Assassino (2020)" (2020) id=01a55db8-1a56-489c-bba9-bd039501b2d7
  ✂️  [pre-2022] movie "A Batalha Esquecida (2021)" (2021) id=01aa8dde-9b3e-4d84-bdaa-ff031e198207
  ✂️  [pre-2022] movie "Sob Suspeita (1987)" (1987) id=01aad2ee-3e13-443d-a2bf-ee2832f16783
  ✂️  [pre-2022] movie "Para Todos os Garotos: Agora e Para Sempre (2021)" (2021) id=01ae6fb6-4ed2-4d7a-91b3-83316dea1b5e
  ✂️  [pre-2022] movie "A Última Música (2010)" (2010) id=01ae88ea-5d3e-4b1c-b7ef-f8620627dc6f
  ✂️  [pre-2022] movie "Druk - Mais Uma Rodada (2020)" (2020) id=01aeb5b4-3ea3-478a-8888-1dc29f85d67a
  ✂️  [pre-2022] movie "Guy (2018)" (2018) id=01b15f0b-3ee5-4660-915c-300a0d491273
  ✂️  [pre-2022] movie "Frozen 2 (2019)" (2019) id=01b4e310-9cb5-4b94-b773-66ac2fc65b1f
  ✂️  [pre-2022] movie "Superman: O Filme (1978)" (1978) id=01b6a641-7423-4844-ba52-e640eb6e7201
  ✂️  [pre-2022] movie "Um Estranho Acidente (2020)" (2020) id=01bbd1e3-a1a6-4242-ab05-712a36cb3976
  ✂️  [pre-2022] movie "Sou Sua Mulher (2020)" (2020) id=01c40d41-923e-464d-a551-4697a24b5a7a
  ✂️  [pre-2022] movie "Capturado (2020)" (2020) id=01c557ae-d0e0-4031-aabf-c289e4dc1773
  ✂️  [pre-2022] movie "Antes do Amanhecer (1995)" (1995) id=01c60b1c-9f37-4db8-afdd-638897516974
  ✂️  [pre-2022] movie "Um Golpe Quase Perfeito (2018)" (2018) id=01cba880-b1c6-47b5-bae7-2b17c9e545a8
  ✂️  [pre-2022] movie "2:22 - Encontro Marcado [L] (2017)" (2017) id=01cf4830-a905-466c-b955-cca242d819d2
  ✂️  [pre-2022] movie "Depois de Horas [L] (1985)" (1985) id=01d03c43-598e-4167-81fa-b1f63a905a59
  ✂️  [pre-2022] movie "Pegasus: Pônei com uma Asa Quebrada (2019)" (2019) id=01d1477f-967e-487a-9ab5-5db4d0208d60
  ✂️  [pre-2022] movie "Perseguição em Alto Mar - Espécies em Risco [L] (2019)" (2019) id=01d449a6-7cbd-4556-bdb0-29b8cc477609
  ✂️  [pre-2022] movie "O Troco [L] (2020)" (2020) id=01db67f7-2de4-42ad-8afd-2d12548c3093
  ✂️  [pre-2022] movie "Menino Malvado [L] (2020)" (2020) id=01dc4f66-e1b8-4841-9f01-ba32bc3fd3dc
  ✂️  [pre-2022] movie "A Princesa Encantada - O Reino da Música (2019)" (2019) id=01e013f7-3f00-447a-a294-1f85ad6b8461
  ✂️  [pre-2022] movie "Os Parentes (2020)" (2020) id=01e29501-0f2c-49b8-a952-3c7d36beb921
  ✂️  [pre-2022] movie "Beckett (2021)" (2021) id=01e9ac92-09ca-49df-9144-03d0da2e441a
  ✂️  [pre-2022] movie "Não Confie em Ninguém! (2021)" (2021) id=01eebe92-badc-440f-9638-9b4b682f75e1
  ✂️  [pre-2022] movie "Buscando (2018)" (2018) id=01f611e6-68ab-4114-bf31-67aec4c2f05f
  ✂️  [pre-2022] movie "Voltando para Casa (2018)" (2018) id=01f84e67-e6f5-4b94-a10e-00ef6362163d
  ✂️  [pre-2022] movie "XXX 2018.07.01 Cadence Lux Big Bbc Surprise For My Bf6060 [Adulto] (1989)" (1989) id=01f867b6-8321-4220-82d0-7dff753e0c42
  ✂️  [pre-2022] movie "Às Vezes Eles Voltam (1991)" (1991) id=01f98ab5-5145-4aae-843a-5bd3be964286
  ✂️  [pre-2022] movie "Isolados: Medo Invisível [L] (2020)" (2020) id=02094ed7-42e8-47c1-8b57-c414f456f1b7
  ✂️  [pre-2022] movie "Play It Again, Charlie Brown (1971)" (1971) id=020cf841-c9c8-4e8f-ae71-b29076f02c77
  ✂️  [pre-2022] movie "Espiral: O Legado de Jogos Mortais (2021)" (2021) id=020eea4d-9b42-4eb6-b3cf-893fa2f582fa
  ✂️  [pre-2022] movie "Almas Rebeldes (1940)" (1940) id=020f184e-8832-4d46-945f-caf724a86682
  ✂️  [pre-2022] movie "Austrália (2008)" (2008) id=020f68a8-1e8a-4089-9910-d89f7417e59c
  ✂️  [pre-2022] movie "Terra de Ninguém [L] (2006)" (2006) id=02163cfc-18ea-4257-beb6-8425d42efe47
  ✂️  [pre-2022] movie "7 Prisioneiros 4K (2021)" (2021) id=022a4f92-f99f-42f0-9378-279d1c2dd8e8
  ✂️  [pre-2022] movie "50% (2011)" (2011) id=02359140-474d-43c3-90bb-6bf7568e5578
  ✂️  [pre-2022] movie "A Viúva (1971)" (1971) id=02364072-3adf-4a14-a8b4-ad6f93fb6a75
  ✂️  [pre-2022] movie "Assassino Sem Culpa (2012)" (2012) id=023ba658-6014-480d-a2b6-d99a8cf1f100
  ✂️  [pre-2022] movie "Como Sair de Buffalo (2020)" (2020) id=023f99af-4336-46e2-8241-fc053d77fcd2
  ✂️  [pre-2022] movie "Vingadores: Ultimato (2019)" (2019) id=0244190a-340b-4ad4-80b8-48e981bb7408
  ✂️  [pre-2022] movie "Diários de Intercâmbio (2021)" (2021) id=02446f97-901e-4a70-9f7e-e60ccd1d4abe
  ✂️  [pre-2022] movie "On the Rocks (2020)" (2020) id=02456e61-7fd3-456f-a77e-35efc8866d9d
  ✂️  [pre-2022] movie "Benny & Joon - Corações em Conflito (1993)" (1993) id=02500949-81e4-4ac7-aacd-81a13cfddca9
  ✂️  [pre-2022] movie "O Amigo Oculto [L] (2005)" (2005) id=0258341c-2995-4d89-a9ae-1dcf9fe1766b
  ✂️  [pre-2022] movie "O Cavaleiro Solitário (2013)" (2013) id=02591b02-4933-498c-8ef3-b5ab5ce3a7b2
  ✂️  [pre-2022] movie "Uma Manhã Gloriosa (2010)" (2010) id=02596a22-8143-407a-9e09-9629a4799d48
  ✂️  [pre-2022] movie "Bia (2.0) (2018)" (2018) id=025d4c85-8ed6-4b66-8994-1c2d044c49fe
  ✂️  [pre-2022] movie "Maid to Order (1987)" (1987) id=025f6c38-5de6-4841-bf68-42a6db3afa6e
  ✂️  [pre-2022] movie "Matadores de Canibais [L] (2017)" (2017) id=0261690d-8323-4fe4-af1c-34853be92236
  ✂️  [pre-2022] movie "De Repente é Amor (2005)" (2005) id=026a0885-63c6-475e-9d13-e36910422141
  ✂️  [pre-2022] movie "Sim, Eu Aceito (2018)" (2018) id=026b4723-010a-4e1b-8adb-f7f6b4aec6fe
  ✂️  [pre-2022] movie "Olhos da Justiça (2015)" (2015) id=0271ba4b-7700-4e60-ae6c-7ddfada7d32b
  ✂️  [pre-2022] movie "Em Nome do Pai [L] (2020)" (2020) id=02749fe3-933e-4af9-a0a6-78a259d56075
  ✂️  [pre-2022] movie "O Álibi (1969)" (1969) id=027775f7-be46-4280-aab4-3f2ccac56a08
  ✂️  [pre-2022] movie "A Menina e o Porquinho (2006)" (2006) id=027c4435-0f5f-4971-a2eb-2fc02c409cea
  ✂️  [pre-2022] movie "No Cair da Noite (2003)" (2003) id=027ce44d-ad4b-4120-a297-6ea34504ff71
  ✂️  [pre-2022] movie "O Cão e a Raposa (1981)" (1981) id=027fdffe-6dd2-4adc-9a8d-6cac9518f65a
  ✂️  [pre-2022] movie "Bobeou Dançou (2009)" (2009) id=028c5f24-7abd-41de-aec5-fc08dd6b1a8d
  ✂️  [pre-2022] movie "Armadilha (1999)" (1999) id=028cb9e5-7299-4f04-9fb8-faab642d6f56
  ✂️  [pre-2022] movie "O Que Ficou Perdido (2019)" (2019) id=028eede4-11af-40d9-a8c6-c96044007b6e
  ✂️  [pre-2022] movie "Zabumba, Orquestra Popular do Nordeste (1974)" (1974) id=0295af7c-ef7d-480d-a7ad-cf2c05b1770b
  ✂️  [pre-2022] movie "Paciente Zero (1993)" (1993) id=02a045b1-7d2b-4ac4-addc-3686b69c917d
  ✂️  [pre-2022] movie "Distante da Árvore (2021)" (2021) id=02a0c9ec-0fec-4db7-b783-4368c58395c6
  ✂️  [pre-2022] movie "Cartas para Quem Ficou (2018)" (2018) id=02ac1ea3-ee54-4d70-a197-968bf14f40b8
  ✂️  [pre-2022] movie "Muppets 2: Procurados e Amados [L] (2014)" (2014) id=02b17f87-2715-47dc-af19-8d4e93cd0bdc
  ✂️  [pre-2022] movie "Natal Sangrento 4: A Iniciação (1990)" (1990) id=02b35117-5c1c-4e39-ab0e-fc8d92af0d9c
  ✂️  [pre-2022] movie "Grande Tubarão Branco [L] (2021)" (2021) id=02b9411a-4a24-459e-942d-97c65d0dbee2
  ✂️  [pre-2022] movie "U.S. Marshals: Os Federais (1998)" (1998) id=02ba8044-01be-4c66-8291-c8b717d887f9
  ✂️  [pre-2022] movie "Suando Frio [L] (2018)" (2018) id=02bca726-9219-4a02-a2fd-4d83a12d9040
  ✂️  [pre-2022] movie "O Mito (2005)" (2005) id=02bfc5c8-41c0-42e7-9d83-6415e2d9d615
  ✂️  [pre-2022] movie "Dragging the Classics: The Brady Bunch (2021)" (2021) id=02ca6154-7d06-44e8-aa3f-c84165eaabfa
  ✂️  [pre-2022] movie "Família Craft e o Código da 20 (2021)" (2021) id=02ccf37e-5694-4aa4-a577-0767d925cf66
  ✂️  [pre-2022] movie "O Corruptor (1999)" (1999) id=02cf2a84-8be1-4076-9cae-e34e1e7d1d3c
  ✂️  [pre-2022] movie "O Presente (2020)" (2020) id=02cf55e0-970f-44fc-b26d-3a589b701f71
  ✂️  [pre-2022] movie "Preso em Casa (2019)" (2019) id=02d6ca30-0de6-4d5e-990f-3be57664237f
  ✂️  [pre-2022] movie "XXX 2018.05.22 Abigail Mac Ill Tell You Everything5252 [Adulto] (1989)" (1989) id=02d95974-435b-4a31-b7af-464fdee6a7c1
  ✂️  [pre-2022] movie "ABC do Amor (2005)" (2005) id=02e1db04-51c8-485a-a00c-195f40dcc2c1
  ✂️  [pre-2022] movie "Um Lindo Dia na Vizinhança (2019)" (2019) id=02e8e8bf-2bb7-4258-823d-6fc6c11d4fe8
  ✂️  [pre-2022] movie "Os Miseráveis (1998)" (1998) id=02eb0b4b-7904-461f-a969-bdd17d0f5797
  ✂️  [pre-2022] movie "Freestyle (2010)" (2010) id=02ee79ce-694c-42e1-b6a3-53435eac82ce
  ✂️  [pre-2022] movie "Tudo Que Deus Criou (2015)" (2015) id=02f34692-5c94-426e-8b83-8880f4e7d588
  ✂️  [pre-2022] movie "Shin Gojira (2016)" (2016) id=02f3d09c-b113-4b17-8c0c-1c301236f47e
  ✂️  [pre-2022] movie "Um abraço de três minutos / 3 Minutos, Um Abraço (2018)" (2018) id=02f94e42-3a52-4dce-9ee4-0b7eb7c2d5c5
  ✂️  [pre-2022] movie "Leve-Me (2017)" (2017) id=02ff6a66-5e67-45a5-b3c3-9a59bb6e77f2
  ✂️  [pre-2022] movie "A Garota no Trem (2009)" (2009) id=03013f57-26b9-4016-b5af-ad0a19c8a49c
  ✂️  [pre-2022] movie "Aventuras no Paraíso (1984)" (1984) id=030f69fb-e637-43ef-a499-f350866e3107
  ✂️  [pre-2022] movie "Chamada de Emergência (2013)" (2013) id=03106d34-896f-4bd6-85f9-a7b6747af16c
  ✂️  [pre-2022] movie "007: Sem Tempo para Morrer (2021)" (2021) id=031a1644-b360-4b73-9f31-9f889bbb5f56
  ✂️  [pre-2022] movie "Bar Doce Lar (2021)" (2021) id=031a2b85-ac5c-4e35-9d72-34c0e41f78d1
  ✂️  [pre-2022] movie "Melanie: A Última Esperança (2016)" (2016) id=031f3fde-c71c-4c21-80cc-e935e50e2d50
  ✂️  [pre-2022] movie "Proteção à Testemunha (1999)" (1999) id=031fbf0a-d8fe-4b92-8dae-48ad8dc0414a
  ✂️  [pre-2022] movie "A Fortaleza (1985)" (1985) id=032223d8-3a89-4822-956a-d0dde6b20a65
  ✂️  [pre-2022] movie "Quatro Confissões (1964)" (1964) id=032764cd-cfc2-44cd-89d4-146ce9878028
  ✂️  [pre-2022] movie "Jovens Bruxas: Nova Irmandade [L] (2020)" (2020) id=0328975a-fff6-4173-92af-dcbd2a1ce14f
  ✂️  [pre-2022] movie "Funcionário do Mês (2006)" (2006) id=03294573-95bd-4ab7-8508-54a8247715f5
  ✂️  [pre-2022] movie "O Piloto - Uma Batalha Pela Sobrevivência [L] (2021)" (2021) id=03299b2a-79be-48e2-8ef2-80e7fecfff2f
  ✂️  [pre-2022] movie "Benny Loves You [L] (2019)" (2019) id=032bec7d-6ca5-4cf0-8ee0-40c8c234dbca
  ✂️  [pre-2022] movie "O Relógio Encantado [L] (2020)" (2020) id=033092e5-241a-41c2-b881-af5617bd1afb
  ✂️  [pre-2022] movie "Zona Desmilitarizada (2018)" (2018) id=03332ec4-defb-41a2-9b04-bb0e6636e1f1
  ✂️  [pre-2022] movie "Um Fim De Semana Com Holly (2020)" (2020) id=033a8879-7f48-41ad-890f-690f97fdecb4
  ✂️  [pre-2022] movie "Algo para Acreditar (2020)" (2020) id=033ad17b-792b-4fbb-aa4e-73aeb31ced7b
  ✂️  [pre-2022] movie "Compartilhar (2019)" (2019) id=0343aab8-98a1-49e7-b271-cce39b89ba4b
  ✂️  [pre-2022] movie "Corpo Fechado (2000)" (2000) id=0346e4b5-4aa0-4d3c-ba80-bed9f6903f46
  ✂️  [pre-2022] movie "T-34: O Monstro de Metal (2018)" (2018) id=034e98b5-5886-4e81-8fa2-e13b1238d27c
  ✂️  [pre-2022] movie "Minhas Mães e Meu Pai (2010)" (2010) id=035063b3-fd8b-4c08-baf7-590fa27226c4
  ✂️  [pre-2022] movie "A Morte Branca do Feiticeiro Negro (2020)" (2020) id=03638af6-02cd-4b9f-9639-0dc5005674da
  ✂️  [pre-2022] movie "O Grande Milagre (2012)" (2012) id=03674aeb-ae35-4414-aaf7-fcf9bc39f6c4
  ✂️  [pre-2022] movie "Agora Estamos Sozinhos (2018)" (2018) id=0367e27b-8385-4d1d-98e5-18227eb7b87e
  ✂️  [pre-2022] movie "Amor em Tempos de Ódio (2018)" (2018) id=037f3ed8-0c55-438e-b0d8-32d92448f33c
  ✂️  [pre-2022] movie "Dez Minutos Para a Meia-Noite (2020)" (2020) id=0384976d-a9c1-4f7b-812d-c97840f6e329
  ✂️  [pre-2022] movie "Manda-Chuva: O Filme (2011)" (2011) id=0386dac5-ef2a-450e-8bd0-ca7af172111d
